institution_code,institution_name
4622,Escuela Basica Fundo Chanco
1712,Escuela Villa Monte
1714,Escuela Santa Maria De Agua Santa
1716,Escuela Villa Independencia
1717,Escuela Cardenal Jose Maria Caro
1718,Escuela Eduardo Lezana Pincheira
1720,Escuela Marcela Paz
1721,Escuela Basica Republica Del Libano
4616,Colegio Michaihue San Pedro de la Paz
4869,Escuela Basica Florida
4870,Liceo Luis De Alava
4871,Liceo Copiulemu
4873,Escuela Rahuil
1959,Windmill College
1961,Escuela Latina Ines Gallardo Orellana
1963,Escuela Basica Diego Barros Arana
1965,Colegio Italo Composto Scarpati
1966,Escuela Basica Catalunya
4875,Escuela Basica Cancha De Los Montero
4890,Escuela Basica Villamavida
4898,Escuela Manuel Amat Y Juniet
4901,Escuela Basica El Maiten
3506,Escuela Ines De Suarez
3604,Escuela Cabreria
4902,Escuela Carlos Alberto Fernández Castillo
4906,Escuela San Jose La Palma
4907,Escuela Gomero
4908,Escuela Alejandro Varela Santa Maria
4913,Escuela Barrancas Juntas
4915,Escuela La Calle
4917,Escuela Santa Susana De Pichaco
4918,Escuela Agua Corta
4920,Escuela San Nicanor
4925,Liceo Nueva Zelandia
4926,Escuela Recaredo Vigueras Araneda
4927,Escuela Colico Alto
4929,Escuela Espigado
4953,Escuela Isidora Goyenechea
4954,Escuela Basica Santa Maria De Guadalupe
4955,Escuela Basica Konrad Adenauer
4956,Escuela Basica Bello Horizonte
4958,Escuela Basica Thompson Matthews
4960,Colegio Angel De Peredo
4961,Escuela Basica Colcura
4967,Escuela Basica Centenario
4968,Escuela Básica Carabinero Isaías Guevara
4977,Liceo Comercial Andres Bello Lopez
4982,Liceo Coronel Antonio Salamanca
4983,Liceo Yobilo De Coronel
4985,Escuela Basica Playas Negras
4986,Escuela Rosa Medel Aguilera
4987,Escuela Basica Javiera Carrera
4988,Escuela Rafael Sotomayor Baeza
4989,Escuela Victor Domingo Silva
4990,Escuela Ambrosio O´higgins
4991,Escuela Republica De Francia
4992,Escuela Remigio Castro Aburto
4994,Escuela Adelaida Miguieles Soto
