city_id,code_national,city
305,10202,"Ancud, Los Lagos"
313,10208,"Quellón, Los Lagos"
309,10210,"Quinchao, Los Lagos"
308,10204,"Curaco De Vélez, Los Lagos"
311,10203,"Chonchi, Los Lagos"
304,10201,"Castro, Los Lagos"
310,10206,"Puqueldón, Los Lagos"
318,10404,"Palena, Los Lagos"
315,10401,"Chaitén, Los Lagos"
317,10402,"Futaleufú, Los Lagos"
328,11301,"Cochrane, Aysen"
321,11101,"Coyhaique, Aysen"
324,11202,"Cisnes, Aysen"
323,11201,"Aysén, Aysen"
325,11203,"Guaitecas, Aysen"
330,11303,"Tortel, Aysen"
326,11401,"Chile Chico, Aysen"
322,11102,"Lago Verde, Aysen"
327,11402,"Río Ibáñez, Aysen"
329,11302,"O'Higgins, Aysen"
340,12302,"Primavera, Magallanes"
342,12201,"Cabo De Hornos, Magallanes"
337,12102,"Laguna Blanca, Magallanes"
333,12401,"Natales, Magallanes"
335,12101,"Punta Arenas, Magallanes"
336,12103,"Río Verde, Magallanes"
339,12301,"Porvenir, Magallanes"
334,12402,"Torres Del Paine, Magallanes"
338,12104,"San Gregorio, Magallanes"
346,12202,"Antártica, Magallanes"
341,12303,"Timaukel, Magallanes"
371,13129,"San Joaquín, Metropolitana"
375,13121,"Pedro Aguirre Cerda, Metropolitana"
374,13130,"San Miguel, Metropolitana"
345,13101,"Santiago, Metropolitana"
388,13303,"Tiltil, Metropolitana"
355,13125,"Quilicura, Metropolitana"
348,13127,"Recoleta, Metropolitana"
387,13301,"Colina, Metropolitana"
360,13104,"Conchalí, Metropolitana"
384,13302,"Lampa, Metropolitana"
349,13108,"Independencia, Metropolitana"
386,13107,"Huechuraba, Metropolitana"
354,13102,"Cerrillos, Metropolitana"
352,13119,"Maipú, Metropolitana"
383,13124,"Pudahuel, Metropolitana"
351,13126,"Quinta Normal, Metropolitana"
353,13106,"Estación Central, Metropolitana"
381,13117,"Lo Prado, Metropolitana"
382,13103,"Cerro Navia, Metropolitana"
385,13128,"Renca, Metropolitana"
369,13401,"San Bernardo, Metropolitana"
394,13403,"Calera De Tango, Metropolitana"
357,13105,"El Bosque, Metropolitana"
392,13402,"Buin, Metropolitana"
393,13404,"Paine, Metropolitana"
376,13111,"La Granja, Metropolitana"
380,13116,"Lo Espejo, Metropolitana"
379,13131,"San Ramón, Metropolitana"
377,13109,"La Cisterna, Metropolitana"
