id,latitud,longitud,address_street,plocation_id,coordinates,campus_code,institution_code,imputed
8541,-35.836845,-71.603264,"Villa Pilocoyán, Pasaje Ranco 1121",161,POINT (-71.603264 -35.836845),1671800001,16718,false
8542,-36.14665,-71.81388,San Martin 1366,166,POINT (-71.81388 -36.14665),1672100001,16721,false
8543,-35.442406,-71.65547943115234,Población Sargento Rebolledo N 2 S/N,150,POINT (-71.65547943115234 -35.442406),1672200001,16722,false
8544,-35.963004,-72.325635,Manuel Montt S/N,170,POINT (-72.325635 -35.963004),1672300001,16723,false
8545,-35.597251,-71.728657,Manuel Antonio Matta 2211,168,POINT (-71.728657 -35.597251),1672500001,16725,false
8546,-35.9670982,-72.3224792,Maipu 479 Cauquenes S/N,170,POINT (-72.3224792 -35.9670982),1672700001,16727,false
8547,-35.4549,-71.6919,Avenida Colín S/N Cruce Maule S/N,155,POINT (-71.6919 -35.4549),1672800001,16728,false
8548,-34.97134,-71.24367,Santa Fe 671,140,POINT (-71.24367 -34.97134),1672900001,16729,false
8549,-34.980326,-71.262069,Avenida Circunvalación 965,140,POINT (-71.262069 -34.980326),1673000001,16730,false
8550,-35.981761,-72.31258392333984,Avenida Ramiro Méndez N° 580,170,POINT (-72.31258392333984 -35.981761),1673100001,16731,false
8551,-35.44008,-71.69737,21 Poniente Villa Doña Florencia Talca 527,150,POINT (-71.69737 -35.44008),1673200001,16732,false
8552,-35.54668,-71.48369,"Villa Arcoiris, Pasaje Laguna Invernada S/N",154,POINT (-71.48369 -35.54668),1673300001,16733,false
8553,-34.869797,-71.15976,Calle Esmeralda 40,141,POINT (-71.15976 -34.869797),1673400001,16734,false
8555,-35.41454525,-71.66123972,3 Oriente 2080,150,POINT (-71.66123972 -35.41454525),1673600001,16736,false
8556,-35.758396,-71.59183,Hijuela Nº 2 Sector Las Toscas Kilometro 10 Yerbas Buenas. S/N,162,POINT (-71.59183 -35.758396),1673900001,16739,false
8557,-36.145348,-71.83753,Francisco Belmar . Poblacion Arrau Mendez 347,166,POINT (-71.83753 -36.145348),1674000001,16740,false
8558,-35.96965,-71.68905,5 Sur 144 Longavi 144,165,POINT (-71.68905 -35.96965),1674300001,16743,false
8559,-35.47183,-71.69586,Camino Viejo A Maule Lote 1a-2 S/N,155,POINT (-71.69586 -35.47183),1674400001,16744,false
8560,-35.52131,-71.68905,Avda. Diego Portales 625,155,POINT (-71.68905 -35.52131),1674500001,16745,false
